rang_taxinomique;N°_Taxinomique_BDNFF;N°_Nomenclatural_BDNFF;code_CATMINAT;NOM_SCIENTIFIQUE;CHOROLOGIE;inflorescence;sexualité;ordre_maturation;pollinisation;fruit;dissémination;couleur_fleur;macule;floraison;type_ligneux;Hauteur_végétative_maximum_[m];TYPE_BIOLOGIQUE;FORMATION_VEGETALE;CARACTERISATION_ECOLOGIQUE_(HABITAT_OPTIMAL);INDICATION_PHYTOSOCIOLOGIQUE_CARACTERISTIQUE;INDICATION_CARACTERISTIQUE_TRANSGRESSIVE;INDICATION_DIFFERENTIELLE_1;INDICATION_DIFFERENTIELLE_2;INDICATION_DIFFERENTIELLE_3;Lumière;Température;Continentalité;Humidité_atmosphérique;Humidité_édaphique;Réaction_du_sol_(pH);Niveau_trophique;Salinité;Texture;Matière_organique;Lichtzahl;Temperaturzahl;Kontinentalität;Feuchtzahl;Reaktionszahl;Nutrients;Salz;CLASSE_(-opsida);SUBCLASSE_(-idae);Clade_intermédiaire;SUPERORDRE_(-anae);Clade_intermédiaire;Clade_intermédiaire;Clade_intermédiaire;ORDRE_(-ales);FAMILLE_(-aceae);numSpA;numSpB;numSpH;nomA;nomB;nomH
esp;2463;19812;02/10.0.1.0.1;Cressa cretica L.;subtropical;capitule simple;hermaphrodite;;entomogame, autogame;akène;épizoochore;blanc;;7-9;;;csuf;chaméphytaie;micromangroves de bas-niveau topographique (bas-schorre);Sarcocornion fruticosae Braun-Blanquet 1933;;;;;8;9;1;8;8;8;7;8;2;3;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Asterales;Asteraceae;0;0;10203;;;Cressa cretica
esp;2575;20612;02/10.0.1.0.1;Cynomorium coccineum L.;méditerranéen;racème de cymes unipares scorpioïdes;hermaphrodite;;entomogame;akène;épizoochore;marron;;;;;cfru;chaméphytaie;micromangroves de bas-niveau topographique (bas-schorre);Sarcocornion fruticosae Braun-Blanquet 1933;;;;;8;9;1;8;8;8;7;8;2;3;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;;Superrosids;;;Saxifragales;Cynomoriaceae;0;0;10204;;;Cynomorium coccineum
esp;2385;60423;02/10.0.1.0.1;Sarcocornia fruticosa (L.) A.J.Scott ;cosmopolite;épi de cymes triflores;hermaphrodite;;anémogame;akène;hydrochore;vert;;;;;Cfru;chaméphytaie;micromangroves de bas-niveau topographique (bas-schorre);Sarcocornion fruticosae Braun-Blanquet 1933;;;;;8;9;1;8;8;8;7;8;2;3;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Amaranthaceae;0;0;10205;;;Sarcocornia fruticosa *
esp;30334;75342;02/10.0.1.0.1;Sarcocornia perennis (Mill.) A.J.Scott ;méditerranéen-atlantique;épi de cymes triflores;hermaphrodite;;anémogame;akène;hydrochore;vert;;;;;csuf;chaméphytaie;micromangroves de bas-niveau topographique (bas-schorre);Sarcocornion fruticosae Braun-Blanquet 1933;;;;;8;9;1;8;8;8;7;8;2;3;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Amaranthaceae;0;0;12829;;;Sarcocornia perennis *
subsp;2386;60426;02/10.0.1.0.1;Sarcocornia perennis (Mill.) A.J.Scott subsp. perennis;méditerranéen-atlantique;épi de cymes triflores;hermaphrodite;;anémogame;akène;hydrochore;vert;;7-8;;;csuf;chaméphytaie;micromangroves de bas-niveau topographique (bas-schorre);Sarcocornion fruticosae Braun-Blanquet 1933;;;;;8;9;1;8;8;8;7;8;2;3;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Amaranthaceae;0;0;10206;;;Arthrocnemum perenne
esp;6197;69481;02/10.0.1.0.1;Triglochin barrelieri Loisel.;méditerranéen;racème simple;hermaphrodite;;anémogame;akène;épizoochore;vert;;3-6;;;gbul;chaméphytaie;micromangroves de bas-niveau topographique (bas-schorre);Sarcocornion fruticosae Braun-Blanquet 1933;;;;;8;9;1;8;8;8;7;8;2;3;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;;Alismatales;Juncaginaceae;0;0;10207;;;Triglochin barrelieri *
subsp;14287;103048;02/10.0.1.0.2;Sarcocornia perennis subsp. alpini (Lag.) Castrov.;méditerranéen (corse);épi de cymes triflores;hermaphrodite;;anémogame;akène;hydrochore;vert;;;;;Cfru;chaméphytaie;micromangroves de haut-niveau topographique (haut-schorre);Sarcocornion perennis subsp. alpini (Rivas-Martínez, Lousã, T.E. Diaz, Fernandez-Gonzalez & J.C. Costa 1990) Brullo, Giusso Del Galdo, Minissale, Siracusa & Spampinato 2002;;;;;8;9;1;8;8;8;7;8;2;3;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Amaranthaceae;0;0;12830;;;Sarcocornia per. alpini *
esp;2306;8373;02/10.0.1.0.3;Atriplex halimus L.;introduit (Afrique);épi de cymes triflores;monoïque;;autogame, entomogame;akène;anémochore;jaune;;8-9;;2;b-cad;nanophanérophytaie;micromangroves de haut-niveau topographique (haut-schorre), sur sol enrichi en matière organique (laisses de mer);Suaedion verae Brullo & Furnari 1988;;;;;8;9;1;8;7;8;7;7;3;3;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Amaranthaceae;0;0;10221;;;Atriplex halimus
esp;30392;75400;02/10.0.1.0.3;Suaeda vera Forssk. ex J.F.Gmel.;méditerranéen-atlantique;épi de cymes triflores;hermaphrodite;;anémogame;akène;hydrochore;vert;;;;;Cfru-suc;chaméphytaie;micromangroves de haut-niveau topographique (haut-schorre), sur sol enrichi en matière organique (laisses de mer);Suaedion verae Brullo & Furnari 1988;;;;;8;9;1;8;7;8;7;7;3;3;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Amaranthaceae;0;0;12834;;;Suaeda vera
subsp(uni);2392;66525;02/10.0.1.0.3;Suaeda vera Forssk. ex J.F.Gmel. subsp. vera;méditerranéen-atlantique;épi de cymes triflores;hermaphrodite;;anémogame;akène;hydrochore;vert;;5-10;;;Cfru-suc;chaméphytaie;micromangroves de haut-niveau topographique (haut-schorre), sur sol enrichi en matière organique (laisses de mer);Suaedion verae Brullo & Furnari 1988;;;;;8;9;1;8;7;8;7;7;3;3;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Amaranthaceae;0;0;12834;;;Suaeda vera
