rang_taxinomique;N°_Taxinomique_BDNFF;N°_Nomenclatural_BDNFF;code_CATMINAT;NOM_SCIENTIFIQUE;CHOROLOGIE;inflorescence;sexualité;ordre_maturation;pollinisation;fruit;dissémination;couleur_fleur;macule;floraison;type_ligneux;Hauteur_végétative_maximum_[m];TYPE_BIOLOGIQUE;FORMATION_VEGETALE;CARACTERISATION_ECOLOGIQUE_(HABITAT_OPTIMAL);INDICATION_PHYTOSOCIOLOGIQUE_CARACTERISTIQUE;INDICATION_CARACTERISTIQUE_TRANSGRESSIVE;INDICATION_DIFFERENTIELLE_1;INDICATION_DIFFERENTIELLE_2;INDICATION_DIFFERENTIELLE_3;Lumière;Température;Continentalité;Humidité_atmosphérique;Humidité_édaphique;Réaction_du_sol_(pH);Niveau_trophique;Salinité;Texture;Matière_organique;Lichtzahl;Temperaturzahl;Kontinentalität;Feuchtzahl;Reaktionszahl;Nutrients;Salz;CLASSE_(-opsida);SUBCLASSE_(-idae);Clade_intermédiaire;SUPERORDRE_(-anae);Clade_intermédiaire;Clade_intermédiaire;Clade_intermédiaire;ORDRE_(-ales);FAMILLE_(-aceae);numSpA;numSpB;numSpH;nomA;nomB;nomH
esp;6937;31414;09/3.2.1.0.4;Helictotrichon cantabricum (Lag.) Gervais;orophyte pyrénéen;panicule d'épillets;hermaphrodite;;anémogame;caryopse;épizoochore;vert, rose;;5-7;;;hces;hémicryptophytaie;pelouses basophiles mésohydriques, mésothermes, basques;Potentillo montanae - Brachypodion rupestris Braun-Blanquet 1967 corr. Rivas-Martínez, Diaz, Fernandez-Gonzalez, Izco, Loidi, Lousã & Penas 2002;;Teucrio pyrenaici - Bromopsidion erectae Rivas-Martínez, Fernández-González & Loidi 1999;;;7;3;3;3;3;8;3;0;3;2;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;Commelinids;Poales;Poaceae;0;0;11341;;;Helictotrichon cantabricum
esp;6108;35931;09/3.2.1.0.4;Iris latifolia (Mill.) Voss;orophyte pyrénéen;cyme unipare hélicoïde;hermaphrodite;;entomogame;capsule;barochore;bleu;;7-8;;;grhi;hémicryptophytaie;pelouses basophiles mésohydriques, mésothermes, basques;Potentillo montanae - Brachypodion rupestris Braun-Blanquet 1967 corr. Rivas-Martínez, Diaz, Fernandez-Gonzalez, Izco, Loidi, Lousã & Penas 2002;;;;;7;2;3;4;4;8;3;0;3;2;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;;;;;Asparagales;Iridaceae;0;0;11329;;;Iris latifolia
esp;3046;41500;09/3.2.1.0.4;Medicago suffruticosa Ramond ex DC.;orophyte méditerranéen occ.;racème capituliforme;hermaphrodite;;entomogame;gousse;épizoochore;jaune;;;;;hsto;hémicryptophytaie;pelouses basophiles mésohydriques, mésothermes, basques;Potentillo montanae - Brachypodion rupestris Braun-Blanquet 1967 corr. Rivas-Martínez, Diaz, Fernandez-Gonzalez, Izco, Loidi, Lousã & Penas 2002;;;;;7;3;3;4;4;8;3;0;7;2;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Fabales;Fabaceae;0;0;11330;;;Medicago suffruticosa
subsp;12645;41503;09/3.2.1.0.4;Medicago suffruticosa Ramond ex DC. subsp. suffruticosa;orophyte méditerranéen occ.;racème capituliforme;hermaphrodite;;entomogame;gousse;épizoochore;jaune;;6-8;;;hsto;hémicryptophytaie;pelouses basophiles mésohydriques, mésothermes, basques;Potentillo montanae - Brachypodion rupestris Braun-Blanquet 1967 corr. Rivas-Martínez, Diaz, Fernandez-Gonzalez, Izco, Loidi, Lousã & Penas 2002;;;;;7;3;3;4;4;8;3;0;7;2;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Fabales;Fabaceae;0;0;11330;;;Medicago suffruticosa
esp;6508;45507;09/3.2.1.0.4;Ophrys vasconica (O.Danesch & E.Danesch) P.Delforge;atlantique méridional;épi simple;hermaphrodite;;entomogame;capsule;anémochore;marron;blanc;3-5;;;gtub;hémicryptophytaie;pelouses basophiles mésohydriques, mésothermes, basques;Potentillo montanae - Brachypodion rupestris Braun-Blanquet 1967 corr. Rivas-Martínez, Diaz, Fernandez-Gonzalez, Izco, Loidi, Lousã & Penas 2002;;;;;7;6;3;4;4;8;3;0;3;2;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;;;;;Asparagales;Orchidaceae;0;0;11332;;;Ophrys vasconica *
esp;263;167124;09/3.2.1.0.4;Parapimpinella siifolia (Leresche) Fern.Prieto, Sanna & Arjona;orophyte pyrénéen;ombelle d'ombellules;hermaphrodite;;entomogame;akène;barochore;blanc;;;;;heri;hémicryptophytaie;pelouses basophiles mésohydriques, mésothermes, basques;Potentillo montanae - Brachypodion rupestris Braun-Blanquet 1967 corr. Rivas-Martínez, Diaz, Fernandez-Gonzalez, Izco, Loidi, Lousã & Penas 2002;;;;;7;3;3;4;4;8;3;0;3;2;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Apiales;Apiaceae;0;0;11342;;;Pimpinella siifolia
esp;2611;75351;09/3.2.1.0.4;Scabiosa cinerea Lapeyr. ex Lam. ;orophyte pyrénéen;cyme capituliforme;gynodioïque;protandre;entomogame;akène;anémochore;bleu;;;;;hros;hémicryptophytaie;pelouses basophiles mésohydriques, mésothermes, basques;Potentillo montanae - Brachypodion rupestris Braun-Blanquet 1967 corr. Rivas-Martínez, Diaz, Fernandez-Gonzalez, Izco, Loidi, Lousã & Penas 2002;;;;;7;2;3;3;3;8;3;0;3;2;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Dipsacales;Caprifoliaceae;0;0;11334;;;Scabiosa cinerea
esp;2621;61250;09/3.2.1.0.4;Scabiosa triandra L.;méditerranéen(eury);cyme capituliforme;gynodioïque;protandre;entomogame;akène;anémochore;bleu;;7-10;;;hros;hémicryptophytaie;pelouses basophiles mésohydriques, mésothermes, basques;Potentillo montanae - Brachypodion rupestris Braun-Blanquet 1967 corr. Rivas-Martínez, Diaz, Fernandez-Gonzalez, Izco, Loidi, Lousã & Penas 2002;Stipo capillatae - Poion perconcinnae Braun-Blanquet 1961;;;;9;6;4;5;6;8;3;0;3;2;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Dipsacales;Caprifoliaceae;0;0;2878;;;Scabiosa triandra
esp;14517;63820;09/3.2.1.0.4;Sideritis hyssopifolia L.;orophyte méridional;glomérules;hermaphrodite;;entomogame;akène;épizoochore;jaune;;;;;csuf;hémicryptophytaie;pelouses basophiles mésohydriques, mésothermes, basques;Potentillo montanae - Brachypodion rupestris Braun-Blanquet 1967 corr. Rivas-Martínez, Diaz, Fernandez-Gonzalez, Izco, Loidi, Lousã & Penas 2002;;;;;8;6;4;3;3;7;2;0;3;2;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Lamiales;Lamiaceae;0;0;2488;;;Sideritis hyssopifolia
subsp;3665;63828;09/3.2.1.0.4;Sideritis hyssopifolia L. subsp. hyssopifolia ;orophyte méridional;glomérules;hermaphrodite;;entomogame;akène;épizoochore;jaune;;;;;csuf;hémicryptophytaie;pelouses basophiles mésohydriques, mésothermes, basques;Potentillo montanae - Brachypodion rupestris Braun-Blanquet 1967 corr. Rivas-Martínez, Diaz, Fernandez-Gonzalez, Izco, Loidi, Lousã & Penas 2002;;;;;8;6;4;3;3;7;2;0;3;2;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Lamiales;Lamiaceae;0;0;2488;;;Sideritis hyssopifolia
esp;30401;75409;09/3.2.1.0.4;Teucrium pyrenaicum L.;orophyte méridional;glomérules;hermaphrodite;;entomogame;akène;épizoochore;rose;;;;;csuf;hémicryptophytaie;pelouses basophiles mésohydriques, mésothermes, basques;Potentillo montanae - Brachypodion rupestris Braun-Blanquet 1967 corr. Rivas-Martínez, Diaz, Fernandez-Gonzalez, Izco, Loidi, Lousã & Penas 2002;;;;;7;2;4;4;4;7;3;0;6;2;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Lamiales;Lamiaceae;0;0;14208;;;Teucrium pyrenaicum
subsp(uni);3720;67427;09/3.2.1.0.4;Teucrium pyrenaicum L. subsp. pyrenaicum;orophyte méridional;glomérules;hermaphrodite;;entomogame;akène;épizoochore;rose;;6-9;;;csuf;hémicryptophytaie;pelouses basophiles mésohydriques, mésothermes, basques;Potentillo montanae - Brachypodion rupestris Braun-Blanquet 1967 corr. Rivas-Martínez, Diaz, Fernandez-Gonzalez, Izco, Loidi, Lousã & Penas 2002;;;;;7;2;4;4;4;7;3;0;6;2;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Lamiales;Lamiaceae;0;0;14208;;;Teucrium pyrenaicum
esp;5614;68065;09/3.2.1.0.4;Thymelaea ruizii Loscos;orophyte pyrénéen;racème simple;hermaphrodite;;entomogame;baie;endozoochore;;;;;;cfru;hémicryptophytaie;pelouses basophiles mésohydriques, mésothermes, basques;Potentillo montanae - Brachypodion rupestris Braun-Blanquet 1967 corr. Rivas-Martínez, Diaz, Fernandez-Gonzalez, Izco, Loidi, Lousã & Penas 2002;;;;;7;2;3;4;4;7;3;0;7;2;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Malvales;Thymelaeaceae;0;0;11336;;;Thymelaea ruizii
esp;4488;54096;09/3.2.1.0.5;Pulsatilla vulgaris Mill.;européen;fleur solitaire terminale;hermaphrodite;protogyne;entomogame;akène;anémochore;bleu, rose;;;;;heri;hémicryptophytaie;pelouses des climats atlantique et subatlantique;Thesio humifusi - Koelerion pyramidatae Royer & Ferrez 2019;;;;;8;6;5;4;3;7;2;0;4;2;7;6;5;2;7;2;0;Magnoliopsida;Magnoliidae;Eudicots;Ranunculanae;;;;Ranunculales;Ranunculaceae;0;0;1146;;;Pulsatilla vulgaris
subsp;30572;75603;09/3.2.1.0.5;Pulsatilla vulgaris subsp. vulgaris ;européen central;fleur solitaire terminale;hermaphrodite;protogyne;entomogame;akène;anémochore;bleu, rose;;;;;heri;hémicryptophytaie;pelouses des climats atlantique et subatlantique;Thesio humifusi - Koelerion pyramidatae Royer & Ferrez 2019;;;;;8;6;5;4;3;7;2;0;4;2;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Ranunculanae;;;;Ranunculales;Ranunculaceae;0;0;1146;;;Pulsatilla vulgaris
esp;555;14613;09/3.2.1.0.5;Carlina vulgaris L.;méditerranéen(eury)-atlantique(eury);corymbe de capitules;hermaphrodite;;entomogame, autogame;akène;anémochore;jaune;;7-9;;;hbis;hémicryptophytaie;pelouses des climats atlantique et subatlantique;Thesio humifusi - Koelerion pyramidatae Royer & Ferrez 2019;;;;;7;6;4;4;3;7;3;0;3;2;7;5;3;4;7;3;0;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Asterales;Asteraceae;0;0;2951;;;Carlina vulgaris
esp;3385;29875;09/3.2.1.0.5;Gentianella germanica (Willd.) Börner;européen occidental;verticille d'ombelles;hermaphrodite;;entomogame, autogame;capsule;barochore;bleu;;8-10;;;hbis(test);hémicryptophytaie;pelouses des climats atlantique et subatlantique;Thesio humifusi - Koelerion pyramidatae Royer & Ferrez 2019;;;;;7;5;5;5;5;8;3;0;1;2;7;5;4;4~;8;3;0;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Gentianales;Gentianaceae;0;0;2388;;;Gentianella germanica
esp;6468;30700;09/3.2.1.0.5;Gymnadenia odoratissima (L.) Rich.;européen;épi simple;hermaphrodite;;entomogame;capsule;anémochore;rose;;5-8;;;gtub;hémicryptophytaie;pelouses des climats atlantique et subatlantique;Thesio humifusi - Koelerion pyramidatae Royer & Ferrez 2019;;;;;7;6;4;5;5;7;2;0;3;2;6;x;4;4~;9;2;0;Magnoliopsida;Magnoliidae;Monocots;;;;;Asparagales;Orchidaceae;0;0;757;;;Gymnadenia odoratissima
esp;3761;39429;09/3.2.1.0.5;Linum leonii F.W.Schultz;atlantique(eury);cyme unipare hélicoïde;hermaphrodite;;entomogame;capsule;barochore;bleu;;;;;heri;hémicryptophytaie;pelouses des climats atlantique et subatlantique;Thesio humifusi - Koelerion pyramidatae Royer & Ferrez 2019;;;;;9;6;5;4;4;9;1;0;3;2;9;7;5;3;9;1;0;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Malpighiales;Linaceae;0;0;4310;;;Linum leonii
subsp;3096;44900;09/3.2.1.0.5;Ononis spinosa subsp. procurrens (Wallr.) Briq.;européen;racème simple;hermaphrodite;;entomogame;gousse;barochore;rose;;;;;csuf;hémicryptophytaie;pelouses des climats atlantique et subatlantique;Thesio humifusi - Koelerion pyramidatae Royer & Ferrez 2019;;;;;8;5;3;4;4;7;3;0;3;2;8;5;2;4~;7;2;0;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Fabales;Fabaceae;0;0;1704;;;Ononis repens
esp;4192;51161;09/3.2.1.0.5;Polygala calcarea F.W.Schultz;atlantique(eury);racème simple;hermaphrodite;;entomogame;capsule;myrmécochore;bleu, blanc, rose;;5-7;;;hsto;hémicryptophytaie;pelouses des climats atlantique et subatlantique;Thesio humifusi - Koelerion pyramidatae Royer & Ferrez 2019;;;;;8;6;2;4;3;9;2;0;3;2;7;7;1;3;9;2;0;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Fabales;Polygalaceae;0;0;1930;;;Polygala calcarea
esp;36301;67814;09/3.2.1.0.5;Thesium humifusum DC.;européen méridional;cyme unipare hélicoïde;hermaphrodite;;entomogame;akène;myrmécochore;blanc;;;;;hsto-hpar;hémicryptophytaie;pelouses des climats atlantique et subatlantique;Thesio humifusi - Koelerion pyramidatae Royer & Ferrez 2019;;;;;7;6;5;3;3;8;3;0;3;2;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Santalanae;Superasterids;;;Santalales;Santalaceae;0;0;857;;;Thesium humifusum
subsp;5189;101572;09/3.2.1.0.5;Thesium humifusum DC. subsp. humifusum;européen occidental;cyme unipare hélicoïde;hermaphrodite;;entomogame;akène;myrmécochore;blanc;;6-8;;;hsto-hpar;hémicryptophytaie;pelouses des climats atlantique et subatlantique;Thesio humifusi - Koelerion pyramidatae Royer & Ferrez 2019;;;;;7;6;5;3;3;8;3;0;3;2;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Santalanae;Superasterids;;;Santalales;Santalaceae;0;0;857;;;Thesium humifusum
esp;5344;26320;09/3.2.1.0.5.1;Euphrasia tetraquetra (Bréb.) Arrond.;atlantique;racème d'épis;hermaphrodite;;entomogame, autogame;capsule;barochore;blanc;;;;;test-hpar;hémicryptophytaie;pelouses basophiles médio-européennes occidentales, mésohygroclines, marnicoles, mésothermes;Loto maritimi - Bromopsenion erectae Royer 1987;;;;;8;4;2;3;3;7;3;0;3;2;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Lamiales;Orobanchaceae;0;0;11306;;;Euphrasia tetraquetra
esp;34011;30704;09/3.2.1.0.5.1;Gymnadenia pyrenaica (Philippe) Giraudias;atlantique;épi simple;hermaphrodite;;entomogame;capsule;anémochore;rose;;5-7;;;gtub;hémicryptophytaie;pelouses basophiles médio-européennes occidentales, mésohygroclines, marnicoles, mésothermes;Loto maritimi - Bromopsenion erectae Royer 1987;;;;;7;7;3;6;6;7;3;0;3;2;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;;;;;Asparagales;Orchidaceae;0;0;14184;;;Gymnadenia pyrenaica *
esp;12714;43023;09/3.2.1.0.5.1;Muscari armeniacum Leichtlin ex Baker;européen oriental;racème simple;hermaphrodite;;entomogame;capsule;;;;;;;gbul;hémicryptophytaie;pelouses basophiles médio-européennes occidentales, mésohygroclines, marnicoles, mésothermes;Loto maritimi - Bromopsenion erectae Royer 1987;;;;;7;5;5;5;5;7;7;0;3;2;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;;;;;Asparagales;Asparagaceae;0;0;16761;;;Muscari armeniacum
esp;6340;43026;09/3.2.1.0.5.1;Muscari botryoides (L.) Mill. ;européen oriental;racème simple;hermaphrodite;;entomogame;capsule;barochore;bleu;;;;;gbul;hémicryptophytaie;pelouses basophiles médio-européennes occidentales, mésohygroclines, marnicoles, mésothermes;Loto maritimi - Bromopsenion erectae Royer 1987;;;;;7;5;8;5;5;7;3;0;3;2;7;5;4;5;x;x;0;Magnoliopsida;Magnoliidae;Monocots;;;;;Asparagales;Asparagaceae;0;0;686;;;Muscari botryoides
subsp;12715;43027;09/3.2.1.0.5.1;Muscari botryoides (L.) Mill. subsp. botryoides;européen oriental;racème simple;hermaphrodite;;entomogame;capsule;barochore;bleu;;3-5;;;gbul;hémicryptophytaie;pelouses basophiles médio-européennes occidentales, mésohygroclines, marnicoles, mésothermes;Loto maritimi - Bromopsenion erectae Royer 1987;;;;;7;5;8;5;5;7;3;0;3;2;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;;;;;Asparagales;Asparagaceae;0;0;686;;;Muscari botryoides
subsp;6504;45225;09/3.2.1.0.5.1;Ophrys fuciflora subsp. elatior (Gumpr. ex Paulus) Engel & Quentin;européen central;épi simple;hermaphrodite;;entomogame;capsule;anémochore;marron;blanc;6-9;;;gtub;hémicryptophytaie;pelouses basophiles médio-européennes occidentales, mésohygroclines, marnicoles, mésothermes;Loto maritimi - Bromopsenion erectae Royer 1987;;;;;7;5;8;4;4;7;3;0;2;2;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;;;;;Asparagales;Orchidaceae;0;0;11320;;;Ophrys elatior *
esp;14762;67102;09/3.2.1.0.5.1;Taraxacum tortilobum Florstr.;eurasiatique;capitule simple;hermaphrodite;;apogame;akène;anémochore;jaune;;;;;hros;hémicryptophytaie;pelouses basophiles médio-européennes occidentales, mésohygroclines, marnicoles, mésothermes;Loto maritimi - Bromopsenion erectae Royer 1987;;;;;8;5;5;3;3;6;5;0;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Asterales;Asteraceae;0;0;11310;;;Taraxacum tortilobum
subsp;5948;14162;09/3.2.1.0.5.2;Carex ornithopoda subsp. elongata (Leyb.) Vierh.;européen;racème d'épis;monoïque;protandre;anémogame;akène;myrmécochore;marron;;4-6;;;hces;hémicryptophytaie;pelouses basophiles médio-européennes occidentales, mésohydriques, aéromésohygrophiles, submontagnardes, d'ubac;Seslerio caeruleae - Mesobromopsenion erectae Oberdorfer 1957;;;;;6;3;5;6;4;8;3;0;9;1;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;Commelinids;Poales;Cyperaceae;0;0;11323;;;Carex orn. elongata *
esp;5947;14160;09/3.2.1.0.5.2;Carex ornithopoda Willd.;européen;racème d'épis;monoïque;protandre;anémogame;akène;myrmécochore;marron;;4-6;;;hces;hémicryptophytaie;pelouses basophiles médio-européennes occidentales, mésohydriques, aéromésohygrophiles, submontagnardes, d'ubac;Seslerio caeruleae - Mesobromopsenion erectae Oberdorfer 1957;;;;;6;3;5;6;4;8;3;0;9;1;6;x;4;3;9;3;0;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;Commelinids;Poales;Cyperaceae;0;0;513;;;Carex ornithopoda
subsp;9025;14163;09/3.2.1.0.5.2;Carex ornithopoda Willd. subsp. ornithopoda;européen;racème d'épis;monoïque;protandre;anémogame;akène;myrmécochore;marron;;4-6;;;hces;hémicryptophytaie;pelouses basophiles médio-européennes occidentales, mésohydriques, aéromésohygrophiles, submontagnardes, d'ubac;Seslerio caeruleae - Mesobromopsenion erectae Oberdorfer 1957;;;;;6;3;5;6;4;8;3;0;9;1;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;Commelinids;Poales;Cyperaceae;0;0;513;;;Carex ornithopoda
esp;6448;24384;09/3.2.1.0.5.2;Epipactis atrorubens (Hoffm.) Besser;eurasiatique;racème simple;hermaphrodite;;entomogame;capsule;anémochore;rose;;5-7;;;grhi;hémicryptophytaie;pelouses basophiles médio-européennes occidentales, mésohydriques, aéromésohygrophiles, submontagnardes, d'ubac;Seslerio caeruleae - Mesobromopsenion erectae Oberdorfer 1957;Festucion gautieri subsp. scopariae Braun-Blanquet 1948;;;;6;4;5;6;5;8;3;0;3;2;6;x;3;3;8;2;0;Magnoliopsida;Magnoliidae;Monocots;;;;;Asparagales;Orchidaceae;0;0;735;;;Epipactis atrorubens
esp;6470;31693;09/3.2.1.0.5.2;Herminium monorchis (L.) R.Br.;eurasiatique;épi simple;hermaphrodite;;entomogame;capsule;anémochore;jaune;;5-8;;;gtub;hémicryptophytaie;pelouses basophiles médio-européennes occidentales, mésohydriques, aéromésohygrophiles, submontagnardes, d'ubac;Seslerio caeruleae - Mesobromopsenion erectae Oberdorfer 1957;;;;;7;5;5;6;5;8;2;0;2;2;7;5;7;5~;8;2;0;Magnoliopsida;Magnoliidae;Monocots;;;;;Asparagales;Orchidaceae;0;0;746;;;Herminium monorchis
subsp;8293;49246;09/3.2.1.0.5.2;Phyteuma orbiculare subsp. tenerum (R.Schulz) Braun-Blanq.;européen occidental;capitule simple;hermaphrodite;;entomogame;capsule;barochore;bleu;;6-8;;;hros;hémicryptophytaie;pelouses basophiles médio-européennes occidentales, mésohydriques, aéromésohygrophiles, submontagnardes, d'ubac;Seslerio caeruleae - Mesobromopsenion erectae Oberdorfer 1957;;Arrhenatheretalia elatioris subsp. elatioris Paw?owski 1928;;;8;6;4;5;5;8;3;0;1;2;8;6;4;2;8;1;0;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Asterales;Campanulaceae;0;0;4005;;;Phyteuma tenerum
esp;30429;75437;09/3.2.1.0.5.2;Viola rupestris F.W.Schmidt ;eurasiatique;fleur solitaire latérale;hermaphrodite;;entomogame;capsule;myrmécochore;bleu;;;;;hros;hémicryptophytaie;pelouses basophiles médio-européennes occidentales, mésohydriques, aéromésohygrophiles, submontagnardes, d'ubac;Seslerio caeruleae - Mesobromopsenion erectae Oberdorfer 1957;;;;;6;5;7;5;3;8;2;0;3;2;6;5;7;3;8;2;0;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Malpighiales;Violaceae;0;0;2073;;;Viola rupestris
esp;2866;20985;09/3.2.1.0.5.3;Cytisus decumbens (Durande) Spach;européen méridional;racème simple;hermaphrodite;;entomogame;gousse;autochore;jaune;;5-7;sous-arbrisseau;0,3;cfru;hémicryptophytaie;pelouses basophiles médio-européennes occidentales, mésohydriques, mésothermes, sur sol superficiel;Teucrio montani - Mesobromopsenion erectae Royer 1987;;;;;7;6;4;3;3;7;3;0;3;3;7;6;4;3;x;1;0;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Fabales;Fabaceae;0;0;1686;;;Cytisus decumbens
esp;5527;71337;09/3.2.1.0.5.3;Veronica satureiifolia A.Poit. & Turpin;européen méridional;racème simple;hermaphrodite;;entomogame;capsule;anémochore;bleu;;4-6;;;hsto;hémicryptophytaie;pelouses basophiles médio-européennes occidentales, mésohydriques, mésothermes, sur sol superficiel;Teucrio montani - Mesobromopsenion erectae Royer 1987;;;;;8;6;5;4;4;8;3;0;3;2;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Lamiales;Plantaginaceae;0;0;2609;;;Veronica pro. scheereri
esp;30412;75420;09/3.2.1.0.6;Trifolium pannonicum Jacq.;européen oriental;racème capituliforme;hermaphrodite;;entomogame;gousse;épizoochore;blanc;;;;;heri;hémicryptophytaie;pelouses centro-européennes (Allemagne, Pologne, Autriche, Tchéquie, etc. );Cirsio pannonici - Brachypodion pinnati Hada? & Klika in Klika & Hada? 1944;;;;;8;6;9;3;4;8;2;0;3;2;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Fabales;Fabaceae;0;0;11658;;;Trifolium pannonicum *
esp;6217;2984;09/10.;Allium commutatum Guss. ;méditerranéen;ombelle simple;hermaphrodite;;entomogame;akène;barochore;;;;;;gbul;hémicryptophytaie;pelouses basophiles méditerranéennes;Dactylido glomeratae subsp. hispanicae - Brachypodietea retusi Julve 1993;;;;;9;9;1;3;3;8;3;0;5;1;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;;;;;Asparagales;Amaryllidaceae;0;0;14400;;;Allium commutatum
esp;6241;3114;09/10.;Allium oporinanthum Brullo, Pavone & Salmeri ;méditerranéen occidental;ombelle simple;hermaphrodite;;entomogame;akène;barochore;;;;;;gbul;hémicryptophytaie;pelouses basophiles méditerranéennes;Dactylido glomeratae subsp. hispanicae - Brachypodietea retusi Julve 1993;;;;;5;5;3;3;3;8;3;0;8;1;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;;;;;Asparagales;Amaryllidaceae;0;0;14404;;;Allium oporinanthum *
esp;8252;3201;09/10.;Allium savii Parl.;méditerranéen;ombelle simple;hermaphrodite;;entomogame;akène;barochore;;;;;;gbul;hémicryptophytaie;pelouses basophiles méditerranéennes;Dactylido glomeratae subsp. hispanicae - Brachypodietea retusi Julve 1993;;;;;8;9;1;7;7;8;4;1;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;;;;;Asparagales;Amaryllidaceae;0;0;14406;;;Allium savii *
esp;8388;3261;09/10.;Allium tenuiflorum Ten.;méditerranéen central;ombelle simple;hermaphrodite;;entomogame;akène;barochore;;;;;;gbul;hémicryptophytaie;pelouses basophiles méditerranéennes;Dactylido glomeratae subsp. hispanicae - Brachypodietea retusi Julve 1993;;;;;8;8;2;3;3;8;3;0;7;1;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;;;;;Asparagales;Amaryllidaceae;0;0;14407;;;Allium pal. tenuiflorum
esp;4408;4758;09/10.;Anemone coronaria L.;méditerranéen;fleur solitaire terminale;hermaphrodite;;entomogame;akène;épizoochore;bleu, blanc, rose;;2-4;;;grhi;hémicryptophytaie;pelouses basophiles méditerranéennes;Dactylido glomeratae subsp. hispanicae - Brachypodietea retusi Julve 1993;;;;;7;8;3;4;5;7;5;0;3;2;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Ranunculanae;;;;Ranunculales;Ranunculaceae;0;0;11424;;;Anemone coronaria
esp;334;6451;09/10.;Aristolochia clusii Lojac.;méditerranéen;glomérules;hermaphrodite;protogyne;entomogame;capsule;barochore;;;;;;gtub;hémicryptophytaie;pelouses basophiles méditerranéennes;Dactylido glomeratae subsp. hispanicae - Brachypodietea retusi Julve 1993;;;;;9;9;1;3;3;7;3;0;4;2;;;;;;;;Magnoliopsida;Magnoliidae;;Magnolianae;;;Magnoliids;Piperales;Aristolochiaceae;0;0;14410;;;Aristolochia clusii *
esp;494;9419;09/10.;Bellis rotundifolia (Desf.) Boiss. & Reut.;méditerranéen;capitule simple;hermaphrodite;;entomogame;akène;barochore;blanc, jaune;;;;;hros;hémicryptophytaie;pelouses basophiles méditerranéennes;Dactylido glomeratae subsp. hispanicae - Brachypodietea retusi Julve 1993;Artemisio albae - Bromopsietalia erectae Ubaldi 1997 ex Dengler & Mucina in Mucina, Dengler, Bergmeier, ?arni, Dimopoulos, Jahn & Matevski 2009;;;;8;8;3;3;5;8;5;0;3;2;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Asterales;Asteraceae;0;0;11425;;;Bellis rotundifolia
