CD_HAB_FIELD;CD_TYPO;LB_HAB_FIELD;FORMAT_HAB_FIELD;DESCRIPT_HAB_FIELD;ORDRE_HAB_FIELD;LENGTH_HAB_FIELD;LB_LABEL;DATE_CREA;DATE_MODIF
20;6;INTERET;VARCHAR2;Intérêt de l'habitat pour la conservation;28;4000;Intérêt pour la conservation;2014-06-19 00:00:00;2023-04-04 12:35:11
21;6;TENDANCES_MENACES;VARCHAR2;Tendances évolutives et les menaces potentielles de l'habitat;29;4000;Tendances et menaces;2014-06-19 00:00:00;2023-04-04 12:35:11
22;6;GESTION;VARCHAR2;Gestion et statut de conservation de l'habitat;30;4000;Gestion et statut de conservation;2014-06-19 00:00:00;2023-04-04 12:35:11
23;6;FACIES_ASSOCIATION;VARCHAR2;Faciès et associations de l'habitat;31;4000;Faciès et associations;2014-06-19 00:00:00;2023-04-04 12:35:11
24;6;FRANCE;VARCHAR2;Indication de la présence en France;13;255;Présence en France;2014-06-19 00:00:00;2023-04-04 12:35:11
25;6;REDACTEURS;VARCHAR2;Auteurs de la fiche de l'habitat;32;255;Auteurs de la fiche;2014-06-19 00:00:00;2023-04-04 12:35:11
27;32;LB_CODE;VARCHAR2;Code de l'unité. Le niveau 1 est identifié par un chiffre romain, les niveaux 2 et 3 par un chiffre arabe et le niveau 4 par une lettre minuscule. Ils sont séparés par des points.;4;20;Code;2014-06-19 00:00:00;2023-04-04 12:35:11
28;32;CD_HAB_SUP;VARCHAR2;Code de l'habitat parent (supérieur);11;20;Identifiant HabRef du parent;2014-06-19 00:00:00;2023-04-04 12:35:11
29;32;NIVEAU;NUMBER;Niveau hiérarchique de l'unité;9;22;Niveau;2014-06-19 00:00:00;2023-04-04 12:35:11
30;32;LB_NIVEAU;VARCHAR2;Niveau de l'habitat. Niveau 1 : Etage. Niveau 2 : Substrat. Niveau 3 : Biocénose. Niveau 4 : Association, Faciès, Enclave, Morpho-structure.;10;30;Intitulé du niveau;2014-06-19 00:00:00;2023-04-04 12:35:11
31;32;LB_HAB_FR;VARCHAR2;Libellé de l'unité en français;5;250;Libellé;2014-06-19 00:00:00;2023-04-04 12:35:11
32;32;FRANCE;VARCHAR2;Indication de la présence en France;13;10;Présence en France;2014-06-19 00:00:00;2023-04-04 12:35:11
35;3;LB_CODE;VARCHAR2;Code du syntaxon.;4;16;Code du syntaxon;2014-06-19 00:00:00;2023-04-04 12:35:11
36;3;CD_HAB_SUP;VARCHAR2;Identifiant HabRef du syntaxon parent.;11;16;Identifiant HabRef du parent;2014-06-19 00:00:00;2023-04-04 12:35:11
37;3;NIVEAU;NUMBER;Niveau du syntaxon dans la classification phytosociologique, codé de 1 à 8.;9;22;Niveau;2014-06-19 00:00:00;2023-04-04 12:35:11
38;3;LB_NIVEAU;VARCHAR2;Intitulé du niveau.;10;21;Intitulé du niveau;2014-06-19 00:00:00;2023-04-04 12:35:11
39;3;FRANCE;VARCHAR2;Présence du syntaxon en France.;13;5;Présence en France;2014-06-19 00:00:00;2023-04-04 12:35:11
40;3;LB_HAB_FR;VARCHAR2;Nom latin du syntaxon;5;255;Nom latin;2014-06-19 00:00:00;2023-04-04 12:35:11
44;3;LB_HAB_FR_COMPLET;VARCHAR2;Nom complet du syntaxon, résultant de la concaténation du nom latin et des auteurs.;6;255;Nom complet;2014-06-19 00:00:00;2023-04-04 12:35:11
45;3;LB_AUTEUR;VARCHAR2;Auteurs du syntaxon.;8;255;Auteurs;2014-06-19 00:00:00;2023-04-04 12:35:11
1073;8;INTERP_FR;VARCHAR2;"Définition de l’habitat selon l’interprétation française (détails et synthèse des critères d’identification de l&#39;habitat).";20;;Interprétation française;2022-03-10 00:00:00;2023-04-04 12:35:11
1074;8;PRECISIONS;VARCHAR2;"Précisions de l&#39;interprétation française (critères d’identification, détails des possibles superpositions entre HIC et critères de distinction avec d’autres HIC, références aux définitions des autres Etats Membres, spécificités
nationales).";21;;Précisions de l'interprétation française;2022-03-10 00:00:00;2023-04-04 12:35:11
1075;8;LB_HAB_FR_ALTER;VARCHAR2;Appellation française alternative de l’habitat (lorsque l’intitulé officiel français de l’habitat n’est pas assez explicite).;16;;Appellation française alternative;2022-03-10 00:00:00;2023-04-04 12:35:11
1076;108;CD_HAB;NUMBER;"Identifiant unique de l&#39;habitat. Non supprimable, et non réutilisable.";1;8;Identifiant HabRef de l'unité;2022-03-11 00:00:00;2023-04-04 12:35:11
1077;108;FG_VALIDITE;VARCHAR2;"Validité du nom de l&#39;habitat (nom de référence / synonyme)";2;20;Validité;2022-03-11 00:00:00;2023-04-04 12:35:11
46;3;LB_DESCRIPTION;VARCHAR2;Diagnose du syntaxon.;14;4000;Description;2014-06-19 00:00:00;2023-04-04 12:35:11
507;28;NOM_SYNTAXON;VARCHAR2;"Copie de la rubrique ""Association"" de la fiche descriptive de l&#39;association comme publiée dans la synthèse de classe.";16;1500;Nom cité du syntaxon;2015-09-15 00:00:00;2023-04-04 12:35:11
48;3;REMARQUES;VARCHAR2;Remarques sur le syntaxon.;17;4000;Remarques;2014-06-19 00:00:00;2023-04-04 12:35:11
50;4;CARACTERES_GENERAUX;VARCHAR2;Caractères généraux (uniquement pour les habitats génériques).;39;4000;Caractères généraux;2014-06-19 00:00:00;2023-04-04 12:35:12
51;4;HD;VARCHAR2;Déclinaison de l'habitat générique en habitats élémentaires.;40;4000;Déclinaison en habitats élémentaires;2014-06-19 00:00:00;2023-04-04 12:35:12
52;4;LB_CODE;VARCHAR2;Code de l'habitat.;4;18;Code de l'habitat;2014-06-19 00:00:00;2023-04-04 12:35:12
53;4;CD_HAB_SUP;VARCHAR2;Identifiant HabRef de l'habitat parent.;11;18;Identifiant HabRef du parent;2014-06-19 00:00:00;2023-04-04 12:35:12
54;4;NIVEAU;VARCHAR2;Niveau de l'habitat.;9;2;Niveau;2014-06-19 00:00:00;2023-04-04 12:35:12
55;4;LB_NIVEAU;VARCHAR2;Intitulé du niveau.;10;255;Intitulé du niveau;2014-06-19 00:00:00;2023-04-04 12:35:12
56;4;FRANCE;VARCHAR2;Présence en France de l'habitat.;13;5;Présence en France;2014-06-19 00:00:00;2023-04-04 12:35:12
57;4;LB_HAB_FR;VARCHAR2;Intitulé de l'habitat selon les Cahiers d'habitats.;5;255;Nom en français;2014-06-19 00:00:00;2023-04-04 12:35:12
508;28;SYNONYMES;VARCHAR2;"Copie de la rubrique ""Synonymes"" de la fiche descriptive de l&#39;association comme publiée dans la synthèse de classe.";17;;Synonymes;2015-09-15 00:00:00;2023-04-04 12:35:11
65;4;CARAC_DIAG_CARC_STAT;VARCHAR2;Caractères diagnostiques de l’habitat - Caractéristiques stationnelles.;21;4000;Caractéristiques stationnelles;2014-06-19 00:00:00;2023-04-04 12:35:12
66;4;CARAC_DIAG_VAR;VARCHAR2;Caractères diagnostiques de l’habitat - Variabilité.;22;4000;Variabilité;2014-06-19 00:00:00;2023-04-04 12:35:12
67;4;CARAC_DIAG_ESP;VARCHAR2;"Caractères diagnostiques de l’habitat - Espèces ""indicatrices"" du type d’habitat.";24;4000;"Espèces ""indicatrices""";2014-06-19 00:00:00;2023-04-04 12:35:12
68;4;CARAC_DIAG_CONF;VARCHAR2;Caractères diagnostiques de l’habitat - Confusions possibles avec d’autres habitats.;25;4000;Confusions possibles;2014-06-19 00:00:00;2023-04-04 12:35:12
69;4;CRSP;VARCHAR2;Correspondances biocénotiques ou phytosociologiques.;26;4000;Correspondances;2014-06-19 00:00:00;2023-04-04 12:35:12
70;4;DYNAMIQUE;VARCHAR2;Dynamique du peuplement ou de la végétation.;27;4000;Dynamique;2014-06-19 00:00:00;2023-04-04 12:35:12
