CD_NOM;Nom scientifique;Indicatrice ZH
73707;Closterium macilentum var. substriatum (Gronbl.) Krieger;-
73708;Closterium malinvernianiforme Gronbl.;-
73709;Closterium moniliferum (Bory.) Ehrenberg;-
648807;Closterium moniliferum var. concavum G.A.Klebs, 1879;-
648809;Closterium moniliferum var. thuretii Bréb., 1856;-
73710;Closterium navicula (Breb.) Lütkem., 1905;-
73711;Closterium nordstedtii Chodat, 1898;-
999332;Closterium nordstedtii var. polystictum (Nygaard) Ruzicka, 1975;-
73712;Closterium parvulum Nägeli, 1849;-
648810;Closterium parvulum var. angustum West & G.S.West, 1900;-
999384;Closterium parvulum var. cornutum (Playfair) Willi Krieger, 1937;-
648811;Closterium parvulum var. maius (Schmidle) Willi Krieg., 1935;-
648812;Closterium praegrande Rabenh., 1863;-
73714;Closterium praelongum Breb.;-
73715;Closterium pritchardianum Archer.;-
73716;Closterium pronum Breb.;-
648813;Closterium pseudolunula Borge, 1909;-
648814;Closterium pseudopusillum Messikommer, 1956;-
73717;Closterium pusillum Hantzsch;-
73718;Closterium pygmaeum Gutn.;-
73719;Closterium ralfsii Breb.;-
73720;Closterium ralfsii var. hybridum Rabenh.;-
648815;Closterium regulare Bréb., 1856;-
73721;Closterium rostratum Ehrenberg;-
648816;Closterium rostratum var. brevirostratum West, 1889;-
648817;Closterium rostratum var. laevigatum Bréb., 1856;-
73723;Closterium setaceum Ehrenberg;-
648818;Closterium setaceum var. elongatum West & G.S.West, 1905;-
648819;Closterium setaceum var. vittatum Grönblad, 1945;-
999383;Closterium s-romanum Hub.-Pest., 1925;-
73724;Closterium strigosum Bréb., 1856;-
73725;Closterium strigosum var. elegans (G.S.West) Willi Krieg., 1935;-
73726;Closterium striolatum Ehrb.;-
648823;Closterium striolatum var. subtruncatum (West & G.S.West) Willi Krieg., 1935;-
648824;Closterium subjuncidiforme Grönblad, 1920;-
894981;Closterium sublaterale R?ži?ka, 1958;-
720036;Closterium subscoticum Gutw., 1902;-
648826;Closterium subtile Bréb., 1856;-
73728;Closterium subulatum (Kutz.) Breb.;-
648828;Closterium tetractinium F.Gay, 1884;-
73729;Closterium toxon West.;-
648829;Closterium tumidulum F.Gay, 1884;-
73730;Closterium tumidum Johns.;-
648830;Closterium tumidum f. minus K.M.Strøm, 1926;-
648831;Closterium tumidum var. nylandicum Grönblad, 1921;-
73731;Closterium turgidum Ehrenb.;-
648832;Closterium turgidum var. borgei Deflandre, 1925;-
648834;Closterium ulna f. striatum Prescott, 1975;-
73733;Closterium venus Kütz. ex Ralfs, 1848;-
894982;Closterium venus var. westii Willi Krieger, 1935;-
648835;Closterium wallichii W.B.Turner, 1892;-
525144;Desmidiaceae Ralfs, 1848;-
188805;Actinotaenium (Nägeli) Teiling, 1954;-
719920;Actinotaenium capax (Joshua) Teiling, 1954;-
719922;Actinotaenium capax var. minus (Schmidle) Teiling ex Ruzicka & Pouzar, 1978;-
999292;Actinotaenium clevei (P.Lundell) Teiling, 1954;-
670118;Actinotaenium colpopelta (Bréb. ex W.Archer) Compère, 1976;-
653283;Actinotaenium cruciferum (De Bary) Teiling, 1954;-
627011;Actinotaenium cucurbita (Bréb. ex Ralfs) Teiling, 1954;-
627012;Actinotaenium cucurbitinum (Bisset) Teiling, 1954;-
720029;Actinotaenium cucurbitinum f. minus (West & G.S.West) Teiling, 1954;-
894913;Actinotaenium cucurbitinum var. minutum (Prescott) G.H.Tomaszewicz, 1988;-
73409;Actinotaenium curtum (Bréb. ex Ralfs) Teiling, 1978;-
720953;Actinotaenium curtum f. minus (Rabenh.) Teiling ex Croasdale, 1981;-
652713;Actinotaenium curtum var. attenuatum (Bréb. ex Ralfs) Teiling ex Ruzicka & Pouzar, 1978;-
652714;Actinotaenium didymocarpum (P.Lundell) Coesel & Delfos, 1986;-
627013;Actinotaenium diplosporum (P.Lundell) Teiling, 1954;-
652715;Actinotaenium diplosporum f. majus (W.West) Teiling, 1954;-
652716;Actinotaenium geniculatum Kouwets, 1988;-
648950;Actinotaenium globosum (Bulnh.) K.Förster ex Compère, 1976;-
648952;Actinotaenium globosum f. minus (Boldt) Förster ex Compère, 1976;-
652717;Actinotaenium inconspicuum (West & G.S.West) Teiling, 1954;-
652718;Actinotaenium inconspicuum var. curvatum Kouwets, 1991;-
652719;Actinotaenium kriegeri (Messikommer) Kouwets, 1997;-
652720;Actinotaenium messikommeri Ruzicka & Pouzar, 1978;-
835185;Actinotaenium minutissimum (Nordst.) Teiling, 1954;-
652721;Actinotaenium mooreanum (W.Archer) Teiling, 1954;-
652722;Actinotaenium obcuneatum (W.West) Teiling, 1954;-
652723;Actinotaenium palangula (Bréb. ex Ralfs) Teiling, 1954;-
652724;Actinotaenium perminutum (G.S.West) Teiling, 1954;-
73412;Actinotaenium phymatosporum Nordst.;-
652725;Actinotaenium pinicola Rosa, 1959;-
652727;Actinotaenium rufescens (Cleve) Teiling, 1954;-
652729;Actinotaenium silvae-nigrae (Rabanus) Kouwets & Coesel, 1984;-
